x,y,z,val
2.404,-33.467,-26.195,1
5.99,-31.729,-28.769,1
15.227,-32.845,-28.474,1
31.686,-27.738,-24.241,1
38.486,-26.878,-17.161,1
43.056,-29.497,-14.286,1
51.637,-29.32,-4.213,1
58.353,-21.333,6.038,1
51.424,-15.441,10.791,1
40.861,-11.162,11.399,1
37.956,-5.916,11.619,1
42.431,-2.2,15.29,1
42.477,-1.92,17.488,1
36.944,-7.621,17.722,1
33.599,-12.965,23.304,1
30.673,-16.415,25.813,1
24.18,-21.156,23.809,1
15.254,-24.86,23.478,1
8.169,-24.977,26.11,1
3.68,-22.068,22.858,1
2.006,-19.458,16.611,1
4.247,-17.835,13.647,1
6.512,-20.239,13.039,1
4.295,-23.071,10.475,1
2.48,-25.42,4.597,1
-0.72,-26.665,2.16,1
0.122,-25.913,3.041,1
5.088,-26.16,2.401,1
9.742,-28.487,-4.191,1
13.214,-28.834,-18.26,1
15.654,-28.681,-22.96,1
21.817,-27.149,-25.398,1
35.928,-24.86,-22.386,1
54.788,-17.394,-19.455,1
62.421,-6.974,-19.18,1
60.42,0.619,-21.952,1
48.606,-1.566,-17.054,1
39.168,-2.114,-5.31,1
35.845,0.385,4.137,1
34.391,1.759,7.58,1
32.332,0.624,8.787,1
30.003,-0.567,10.087,1
31.317,-2.394,15.098,1
32.933,-5.356,20.212,1
30.762,-11.131,23.064,1
23.268,-17.162,27.192,1
16.104,-17.054,25.36,1
11.174,-15.826,18.541,1
5.468,-16.13,17.955,1
0.938,-15.848,20.703,1
-1.29,-16.089,20.011,1
-2.671,-18.393,15.043,1
-1.127,-20.981,12.46,1
0.39,-24.036,12.912,1
0.285,-25.523,6.369,1
-2.994,-29.189,-4.599,1
-2.504,-36.477,-11.654,1
12.378,-37.779,-13.673,1
28.171,-33.857,-16.029,1
35.373,-34.492,-19.072,1
50.895,-31.217,-17.781,1
69.714,-18.022,-12.492,1
67.682,-8.885,-9.143,1
57.027,-7.056,-5.702,1
53.191,-2.188,-0.368,1
51.669,2.243,4.556,1
49.605,1.673,9.912,1
46.466,-3.395,14.411,1
42.762,-8.045,20.83,1
41.857,-11.61,25.731,1
40.265,-17.097,25.7,1
34.47,-24.309,23.028,1
25.621,-29.957,21.194,1
16.805,-33.108,25.456,1
6.857,-33.484,25.779,1
-1.412,-31.932,23.897,1
-8.602,-30.587,26.234,1
-13.146,-29.682,27.482,1
-15.088,-31.837,20.361,1
-14.621,-33.766,11.66,1
-10.671,-34.844,3.522,1
-6.059,-36.702,-2.056,1
-1.072,-38.229,-7.68,1
5.136,-37.959,-10.395,1
9.848,-37.628,-13.68,1
17.583,-37.37,-15.09,1
29.366,-34.482,-2.999,1
45.235,-31.293,10.906,1
63.623,-19.422,8.768,1
72.025,-0.402,8.356,1
64.042,4.706,5.375,1
58.906,8.52,0.335,1
63.891,13.714,7.64,1
57.946,5.987,10.985,1
47.95,-5.356,9.366,1
44.141,-12.412,7.798,1
42.132,-19.585,6.544,1
35.222,-26.631,3.237,1
27.678,-30.146,-2.015,1
17.009,-30.177,-6.516,1
6.519,-27.264,-10.836,1
-0.871,-24.062,-17.027,1
-6.239,-21.199,-19.01,1
-12.052,-20.047,-18.495,1
-16.015,-18.445,-17.068,1
-15.308,-16.623,-14.336,1
-12.191,-15.017,-8.889,1
-10.601,-14.253,-5.695,1
-10.704,-16.156,-4.845,1
-11.781,-19.693,0.855,1
-8.056,-24.759,7.049,1
2.021,-28.76,19.137,1
14.792,-30.407,39.242,1
25.432,-28.93,52.686,1
28.604,-32.105,43.619,1
33.407,-33.072,30.702,1
37.842,-31.683,25.08,1
35.79,-36.252,22.777,1
34.662,-45.003,14.234,1
39.022,-46.526,1.69,1
45.898,-41.387,-3.775,1
47.91,-33.946,-11.468,1
45.017,-25.98,-18.756,1
43.499,-16.506,-20.698,1
34.183,-11.629,-11.884,1
33.74,-7.966,-9.399,1
33.549,-5.497,-11.786,1
25.612,-7.209,-11.164,1
18.793,-9.361,-7.055,1
14.945,-10.417,-2.226,1
10.839,-12.065,-3.353,1
7.685,-13.207,-3.95,1
4.271,-14.722,-4.16,1
0.601,-16.243,-4.733,1
-2.937,-17.296,-4.34,1
-6.775,-19.195,-5.717,1
-7.998,-19.827,-3.392,1
-7.407,-21.321,4.963,1
-9.646,-25.437,15.134,1
-8.305,-29.95,23.871,1
5.095,-29.189,30.158,1
20.411,-25.152,33.039,1
